 comment_id | article_id |                                                                                                                                                                                 body                                                                                                                                                                                 | votes |    author    |     created_at      
         77 |          8 | Hic qui omnis qui sit deserunt velit labore commodi repellat. Minus voluptatum dolore libero voluptatem praesentium aut iusto harum. Consequatur sit quasi. Est ad minus inventore ut reiciendis. Quos incidunt rerum. Ut omnis in voluptatum nesciunt.                                                                                                              |    -2 | tickle122    | 2020-11-06 19:20:00
         80 |         31 | Voluptatem voluptas unde. Quam tempore recusandae voluptatem similique iusto repudiandae et. Tenetur dolores possimus labore. Incidunt quae ipsa qui quas. Sunt suscipit aliquid vitae.                                                                                                                                                                              |    -5 | cooljmessy   | 2020-07-14 03:02:00
         82 |         11 | Facilis ipsam illum aut voluptatibus. Repudiandae cupiditate quo fugiat earum est ut autem repudiandae excepturi. Fuga voluptatem iusto ut. Nulla sequi culpa qui eaque. Architecto non veniam distinctio.                                                                                                                                                           |    -4 | happyamy2016 | 2020-08-19 08:08:00
         83 |         24 | Velit in assumenda quo repudiandae qui eaque. Qui dolor ad iusto optio magnam suscipit.                                                                                                                                                                                                                                                                              |    -2 | weegembump   | 2020-04-08 22:01:00
         88 |          5 | Minus minus sit non fugiat sunt et nostrum aut et. Dignissimos qui nemo quos fuga qui temporibus occaecati aut. Explicabo dolor commodi officia nulla totam inventore.                                                                                                                                                                                               |    -3 | weegembump   | 2020-05-26 16:11:00
         94 |         29 | Voluptatum aut facilis odit sint. Iste ab ut mollitia aut odio. Similique aut a ut est impedit. Similique dolorum possimus ipsum voluptatem iste non commodi placeat quia. Vero aperiam eum voluptatem aut sed totam dicta suscipit.                                                                                                                                 |    -4 | weegembump   | 2020-04-15 07:17:00
         98 |         17 | Delectus nostrum autem. Dolore est id veniam maxime aliquid omnis nam cupiditate consequatur. Eveniet similique et voluptatem voluptatem illo. Quam officiis aut molestias hic est omnis. Dolor enim dolores. Quo explicabo reprehenderit reprehenderit nostrum magni in.                                                                                            |    -3 | grumpy19     | 2020-02-07 02:23:00
        108 |         17 | Magni similique tempore a quia officiis ipsam ut non. Eum laborum dicta sint illo nihil quia maiores. Reiciendis sit voluptate sed quae iste temporibus.                                                                                                                                                                                                             |    -1 | grumpy19     | 2020-08-02 09:22:00
        113 |         23 | Accusantium est officiis labore dolorem hic maiores quae quo. Et rerum sequi.                                                                                                                                                                                                                                                                                        |    -3 | cooljmessy   | 2020-01-17 17:13:00
        114 |         34 | Eligendi placeat aspernatur omnis delectus maxime inventore at porro. Accusantium nobis totam fugiat debitis quia repellat quo qui voluptatem. Laboriosam nesciunt distinctio et aut itaque ipsa aut. Cum accusantium et et recusandae numquam quas et. Porro minima accusantium atque quo illo.                                                                     |    -4 | tickle122    | 2020-05-09 08:11:00
        124 |         34 | Vitae laudantium molestiae neque ut dicta fuga similique. Sit nesciunt magni sit beatae. Porro recusandae aut exercitationem eligendi voluptas. Dolore eligendi inventore magni voluptatem quia ut ut.                                                                                                                                                               |    -1 | grumpy19     | 2020-10-17 23:05:00
        135 |         27 | Quam officiis reprehenderit architecto omnis est facere inventore. Expedita est enim dolore debitis velit. Quo facilis accusantium error.                                                                                                                                                                                                                            |    -1 | happyamy2016 | 2020-09-07 07:02:00
        137 |         26 | Nesciunt aliquid ex et architecto beatae fugit. Et delectus quam culpa rerum hic repellendus laudantium est. Non quasi omnis. Deserunt nisi voluptatem asperiores aspernatur mollitia qui. Molestiae sit voluptates et voluptas voluptas consequatur. Corrupti laboriosam consequatur est tenetur consequuntur id.                                                   |    -5 | happyamy2016 | 2020-03-20 02:01:00
        147 |         27 | Qui qui sit earum et laboriosam non. Nobis distinctio qui et sint perspiciatis qui eum. Doloremque animi quia tenetur harum distinctio et.                                                                                                                                                                                                                           |    -2 | weegembump   | 2020-08-24 00:26:00
        150 |          9 | Doloremque ut reiciendis autem perferendis vel in tempore. Delectus quia illum deleniti fuga dolores dicta velit aut architecto.                                                                                                                                                                                                                                     |    -3 | tickle122    | 2020-01-17 16:06:00
        158 |         22 | Voluptatibus laudantium vel consequuntur explicabo voluptatem adipisci eligendi nihil magni. Dolore in molestias ullam sapiente et aperiam. Et aut est placeat porro dolor et modi reiciendis. Enim fuga exercitationem in. Dolore sint laudantium quos sint et aut possimus.                                                                                        |    -5 | happyamy2016 | 2020-06-09 13:10:00
        159 |         35 | Veniam natus sed nostrum et aut repellendus. Dignissimos quia cum id odio repudiandae impedit aperiam sapiente. Harum sequi non nihil velit modi. Corporis consequatur enim suscipit eos dignissimos voluptas nobis eum.                                                                                                                                             |    -1 | cooljmessy   | 2020-09-24 00:05:00
        171 |         30 | Est voluptas reprehenderit enim necessitatibus blanditiis quia consequatur. Soluta quae quia non veniam corrupti et. Asperiores culpa est ut quam ipsum molestias reiciendis sed molestiae. Ut odit in non odio molestias ab. Voluptates est inventore nihil sunt voluptatem dignissimos et debitis. Nihil et numquam.                                               |    -5 | weegembump   | 2020-03-03 05:25:00
        174 |         34 | Sit dolores similique temporibus omnis. Reiciendis animi similique. Tempore inventore aperiam. Labore dolorem sint molestiae assumenda ipsum.                                                                                                                                                                                                                        |    -2 | cooljmessy   | 2020-09-06 00:02:00
        181 |         16 | Aut sint ut. Voluptatem enim saepe quasi aut ut qui quasi neque quidem. At nihil quia minus eos harum est accusantium et.                                                                                                                                                                                                                                            |    -2 | tickle122    | 2020-03-01 15:09:00
        182 |          6 | Voluptatem voluptas tempore soluta et rerum quia sed quas ut. Non cumque perferendis voluptate vitae est quis sit enim dolor. Et esse qui est et.                                                                                                                                                                                                                    |    -5 | jessjelly    | 2020-08-19 19:15:00
        198 |         30 | Odio accusamus eius voluptatem voluptatem esse magni est in aperiam. Voluptatem quam sapiente omnis debitis ut molestiae. Eligendi qui ratione. Maiores occaecati voluptas voluptatem at repellat sint voluptatem. Ut voluptatem optio porro perspiciatis aut dicta quae qui. Minus odio suscipit tempora aspernatur sequi ut est.                                   |    -3 | grumpy19     | 2020-04-20 11:25:00
        200 |          3 | Fugiat aut ipsam ea commodi natus commodi officiis amet. Rerum quae error. Vel eum voluptates corrupti aperiam.                                                                                                                                                                                                                                                      |    -1 | jessjelly    | 2020-05-20 07:15:00
        202 |         16 | Quia numquam ut fuga. Laudantium perspiciatis distinctio rerum sunt itaque non ipsum. Nihil necessitatibus voluptatem. Reiciendis nobis quae quo et mollitia soluta. Voluptates deleniti soluta ducimus natus eos enim sunt. Totam et perferendis qui reiciendis.                                                                                                    |    -3 | happyamy2016 | 2020-07-06 13:10:00
        203 |         11 | Fugiat voluptatibus numquam aut aut sit quae magni qui. Ipsam sed reprehenderit aliquid quibusdam. Id ducimus quisquam modi sed repellendus quia omnis aliquam et. Qui blanditiis voluptate doloremque esse qui sint deserunt voluptas. Et rerum et rerum quia repudiandae vero omnis voluptas sit. Ipsam eos fugiat omnis rem quia sequi omnis reprehenderit minus. |    -1 | tickle122    | 2020-01-09 19:17:00
        206 |         31 | Ea cum vitae sunt. Rerum inventore voluptates dolores consequuntur recusandae esse quia velit at. Voluptatem sit voluptates temporibus. Et sunt harum ad sit ut aperiam. Omnis enim eos aspernatur. Maxime nam quasi error dolor et qui quaerat accusamus temporibus.                                                                                                |    -3 | cooljmessy   | 2020-03-25 17:08:00
        211 |         34 | Molestiae ut esse a error necessitatibus doloribus eligendi nesciunt. Ea minus voluptatem quae maxime distinctio.                                                                                                                                                                                                                                                    |    -3 | cooljmessy   | 2020-08-26 18:24:00
        215 |         19 | Maxime beatae esse veniam cum nihil. Mollitia at ducimus aliquam. Doloribus sed est. Modi ut neque et velit expedita. Aliquid in assumenda.                                                                                                                                                                                                                          |    -3 | grumpy19     | 2020-08-21 09:16:00
        216 |         35 | Similique ea aperiam incidunt numquam ratione dignissimos vero reiciendis voluptatem. Saepe quas soluta ut odit. Laboriosam et aspernatur et rerum mollitia optio. Est nisi consequatur veritatis aut occaecati soluta quae beatae. Eligendi debitis ratione temporibus aperiam.                                                                                     |    -2 | weegembump   | 2020-11-20 10:12:00
        218 |         12 | Iste laudantium explicabo nihil officia. Tempora voluptates amet exercitationem sed aut quo. Nostrum totam esse minus distinctio ipsum. Nisi debitis voluptatem rerum nisi qui.                                                                                                                                                                                      |    -3 | weegembump   | 2020-05-14 09:24:00
        223 |         32 | Qui vero officia et delectus quibusdam. Eos qui inventore voluptas. Sed delectus assumenda velit. Nihil nostrum facilis beatae ut architecto sed.                                                                                                                                                                                                                    |    -3 | jessjelly    | 2020-03-08 06:12:00
        227 |         17 | Et hic sint magnam error necessitatibus numquam molestias sequi. Ad id enim qui sit cum dolorem.                                                                                                                                                                                                                                                                     |    -5 | weegembump   | 2020-02-17 10:11:00
        229 |          4 | Quod asperiores aut. Rerum ipsa sed quas nobis qui recusandae neque. Est dolorem ipsam.                                                                                                                                                                                                                                                                              |    -4 | jessjelly    | 2020-01-21 02:22:00
        234 |         16 | Nostrum perspiciatis ratione illum et officia nobis sint et. Dignissimos est sed officia exercitationem. Voluptas voluptate ipsam eius rem sunt est. Accusamus nulla nam est velit. Sapiente rerum est minima eligendi accusamus voluptatem sint optio.                                                                                                              |    -3 | weegembump   | 2020-05-10 18:11:00
        243 |         36 | Natus quaerat non harum quae ut et quia. Id aut reiciendis.                                                                                                                                                                                                                                                                                                          |    -3 | grumpy19     | 2020-03-13 00:13:00
        247 |         13 | Dolor rem saepe voluptas impedit et. Corrupti qui quod commodi. Quos blanditiis placeat.                                                                                                                                                                                                                                                                             |    -1 | grumpy19     | 2020-05-18 23:05:00
        252 |         16 | Distinctio laudantium consequatur exercitationem enim magni quod est commodi. Harum consequatur est maiores ipsum accusamus impedit perferendis nobis ipsam. Adipisci excepturi itaque maiores deserunt deserunt occaecati iste. Consectetur non nostrum ex voluptatem in laborum sed ut.                                                                            |    -3 | grumpy19     | 2020-08-02 14:16:00
        255 |         21 | Voluptatem in distinctio delectus. Inventore fuga quia nemo sint quisquam reiciendis provident. Porro animi nemo qui.                                                                                                                                                                                                                                                |    -1 | tickle122    | 2020-02-20 17:18:00
        256 |          4 | Aut fugiat eos distinctio culpa est est maxime. Maiores nihil quos velit minus beatae. Dolore eos tenetur voluptates nemo.                                                                                                                                                                                                                                           |    -5 | cooljmessy   | 2020-08-10 13:15:00
        258 |          8 | Rerum occaecati provident et reprehenderit. Possimus dignissimos quo. Alias ut aut at qui. Ut quasi incidunt porro. Accusantium omnis facilis.                                                                                                                                                                                                                       |    -1 | jessjelly    | 2020-11-10 20:16:00
        261 |         22 | Delectus id consequatur voluptatem ad sapiente quia optio dolor. Dolorum est ullam vitae.                                                                                                                                                                                                                                                                            |    -5 | grumpy19     | 2020-10-22 19:00:00
        270 |         29 | Repellat id vel. Ut illo ut voluptas expedita enim aperiam et cumque temporibus. Facilis non iste eos quia ut occaecati est. Soluta molestiae qui quo vel qui. Dolor labore fuga ex voluptatem ut sed similique voluptatem aspernatur. Magnam aperiam iure fuga aut nemo eius aut minima.                                                                            |    -5 | tickle122    | 2020-03-17 17:26:00
        273 |         21 | Ullam ut consequatur. Vel et harum sed quo. Aliquid rem consequatur est. Esse deleniti voluptatem temporibus. Deleniti maiores officiis mollitia omnis exercitationem dicta cum quia. Earum voluptates qui iusto ipsa magni id.                                                                                                                                      |    -5 | weegembump   | 2020-07-26 16:04:00
        274 |         35 | Quod inventore aut consequuntur rerum aperiam. Laborum nihil ut optio fugit.                                                                                                                                                                                                                                                                                         |    -3 | happyamy2016 | 2020-08-25 13:26:00
        275 |         23 | Nulla similique ullam excepturi tempore. Voluptatem eum vel voluptatem dolores suscipit similique labore aliquam dolores. Est ex eum at voluptate repellat assumenda. Eos asperiores dolor aperiam.                                                                                                                                                                  |    -4 | jessjelly    | 2020-07-22 00:23:00
        283 |         32 | Ratione tempore et natus incidunt quibusdam minima. Voluptatem quae quae eos reiciendis et quia saepe enim et. Esse sapiente totam ullam nam. Provident repellat velit enim excepturi asperiores qui nostrum similique dicta. Labore repellendus quae ut voluptas voluptatibus. Voluptatibus voluptatum sed nemo harum ad harum repellendus ad.                      |    -4 | happyamy2016 | 2020-01-06 15:17:00
        290 |         28 | Sunt omnis pariatur dignissimos quibusdam dolore ut non velit autem. Omnis voluptatibus qui aut sunt ut unde. Ut eaque excepturi numquam quis occaecati. Repellat esse voluptas velit eveniet ut pariatur natus. Velit voluptas nostrum quia dignissimos quisquam incidunt.                                                                                          |    -3 | jessjelly    | 2020-09-01 19:00:00
        300 |         22 | Quia nemo est. Maiores animi architecto ad nihil sapiente. Odio in maxime nam assumenda tempora et nisi. Impedit quidem cum neque libero sequi et et impedit. Dignissimos ut molestiae laborum rerum error distinctio quasi hic consectetur. Odio vel qui necessitatibus perspiciatis ipsum quod excepturi saepe.                                                    |    -1 | jessjelly    | 2020-02-01 03:22:00
(63 rows)

